,city,latitude,longitude,timepoint,main_weather,feels_like,humidity,wind_speed,precipitation,clouds,city_id
99,Bayeux,49.2764624,-0.7024738,1720904400,clear sky,11.75,87,1.53,0.0,0,7
100,Bayeux,49.2764624,-0.7024738,1720915200,few clouds,10.58,89,1.36,0.0,18,7
101,Bayeux,49.2764624,-0.7024738,1720926000,scattered clouds,9.87,88,1.59,0.0,37,7
102,Bayeux,49.2764624,-0.7024738,1720936800,scattered clouds,12.45,82,1.32,0.0,42,7
103,Bayeux,49.2764624,-0.7024738,1720947600,overcast clouds,15.99,68,0.85,0.0,100,7
104,Bayeux,49.2764624,-0.7024738,1720958400,overcast clouds,18.43,62,2.63,0.0,100,7
105,Bayeux,49.2764624,-0.7024738,1720969200,scattered clouds,20.79,53,1.41,0.0,27,7
106,Bayeux,49.2764624,-0.7024738,1720980000,scattered clouds,19.21,72,3.27,0.0,50,7
107,Bayeux,49.2764624,-0.7024738,1720990800,clear sky,14.4,88,3.39,0.0,1,7
108,Bayeux,49.2764624,-0.7024738,1721001600,clear sky,14.09,84,3.66,0.0,2,7
109,Bayeux,49.2764624,-0.7024738,1721012400,broken clouds,14.7,79,2.56,0.0,72,7
110,Bayeux,49.2764624,-0.7024738,1721023200,overcast clouds,15.76,78,1.93,0.0,86,7
111,Bayeux,49.2764624,-0.7024738,1721034000,moderate rain,14.33,97,3.63,7.72,100,7
112,Bayeux,49.2764624,-0.7024738,1721044800,moderate rain,16.01,94,3.63,5.57,100,7
113,Bayeux,49.2764624,-0.7024738,1721055600,light rain,17.28,88,3.76,2.15,100,7
114,Bayeux,49.2764624,-0.7024738,1721066400,light rain,17.71,85,4.33,1.17,100,7
115,Bayeux,49.2764624,-0.7024738,1721077200,light rain,14.52,93,3.72,0.26,29,7
116,Bayeux,49.2764624,-0.7024738,1721088000,few clouds,13.16,96,3.71,0.0,18,7
117,Bayeux,49.2764624,-0.7024738,1721098800,scattered clouds,12.35,98,3.95,0.0,28,7
118,Bayeux,49.2764624,-0.7024738,1721109600,scattered clouds,13.47,96,4.11,0.0,45,7
119,Bayeux,49.2764624,-0.7024738,1721120400,scattered clouds,16.94,81,5.45,0.0,29,7
120,Le Havre,49.4938975,0.1079732,1720699200,clear sky,18.06,63,3.07,0.0,0,21
121,Le Havre,49.4938975,0.1079732,1720710000,few clouds,17.67,64,4.54,0.0,17,21
122,Le Havre,49.4938975,0.1079732,1720720800,light rain,16.29,69,6.28,0.43,50,21
